Key,Duplicate,Semantic number,Scrape Name,Cleaned Name,Scrape Identifier,Object (what is it?),Year,Ety. type,2nd Ety. type,Etymology,Full Expansion/Phrase,1st Jargon,1st Jargon Type Connection,2nd Jargon,2nd Jargon Type Connection,END/RECURSIVE?,Explanation,Cultural Heritage (CH),CH Subclass,CH Last Class,Version Numbering?,Source,Additional Information,3rd Jargon,3rd Jargon Type Connection,4th Jargon,4th Jargon Type Connection
269,,10,echo,,GNU,,,,,,,,,,,,,,,,,,,,,,
270,,10,env,,GNU,,,,,,,,,,,,,,,,,,,,,,
271,,10,groups,,GNU,,,,,,,,,,,,,,,,,,,,,,
272,,10,hostname,,GNU,,,,,,,,,,,,,,,,,,,,,,
273,,10,nice,,GNU,,,,,,,,,,,,,,,,,,,,,,
274,,10,nohup,,GNU,,,,,,,,,,,,,,,,,,,,,,
275,,10,printf,,GNU,,,,,,,,,,,,,,,,,,,,,,
276,,10,sleep,,GNU,,,,,,,,,,,,,,,,,,,,,,
277,,10,cpio,,GNU,,,,,,,,,,,,,,,,,,,,,,
278,,10,diffutils,,GNU,,,,,,,,,,,,,,,,,,,,,,
279,,10,diff,,GNU,,,,,,,,,,,,,,,,,,,,,,
280,,10,cmp,,GNU,,,,,,,,,,,,,,,,,,,,,,
281,,10,diff3,,GNU,,,,,,,,,,,,,,,,,,,,,,
282,,10,sdiff,,GNU,,,,,,,,,,,,,,,,,,,,,,
283,,10,findutils,,GNU,,,,,,,,,,,,,,,,,,,,,,
284,,10,find,,GNU,,,,,,,,,,,,,,,,,,,,,,
285,,10,locate,,GNU,,,,,,,,,,,,,,,,,,,,,,
286,,10,xargs,,GNU,,,,,,,,,,,,,,,,,,,,,,
287,,10,finger,,GNU,,,,,,,,,,,,,,,,,,,,,,
288,,10,grep,,GNU,,,,,,,,,,,,,,,,,,,,,,
289,,10,groff,,GNU,,,,,,,,,,,,,,,,,,,,,,
290,,10,hurd,,GNU,,,,,,,,,,,,,,,,,,,,,,
291,,10,microkernel,,GNU,,,,,,,,,,,,,,,,,,,,,,
292,,10,inetutils,,GNU,,,,,,,,,,,,,,,,,,,,,,
293,,10,telnet,,GNU,,,,,,,,,,,,,,,,,,,,,,
294,,10,rsh,,GNU,,,,,,,,,,,,,,,,,,,,,,
295,,10,rlogin,,GNU,,,,,,,,,,,,,,,,,,,,,,
296,,10,tftp,,GNU,,,,,,,,,,,,,,,,,,,,,,
297,,10,plotutils,,GNU,,,,,,,,,,,,,,,,,,,,,,
298,,10,readline,,GNU,,,,,,,,,,,,,,,,,,,,,,
299,,10,tar,,GNU,,,,,,,,,,,,,,,,,,,,,,
300,,10,time,,GNU,,,,,,,,,,,,,,,,,,,,,,
301,,9,GRUB,GRUB,GNU,Software,,Semi-Direct-Acronym,,Phrase,Grand Unified Bootloader,,,,,,,,,,,,,,,,
302,,1,GNU FreeFont,GNU FreeFont,GNU,Software,,Phrase,,Phrase,Free Font,,,GNU,,UNSURE,GNU FreeFont (also known as Free UCS Outline Fonts) (from wikipedia),,,,,https://en.wikipedia.org/wiki/GNU_FreeFont,,,,,
303,,1,GNU Unifont,,GNU,Software,,Word,,Word,Unifont,,,GNU,,,,,,,,,,,,,
304,,3,R,,GNU,,,,,,,,,,,,,,,,,,,,,,
