Link,URL,Title
BASIC,/wiki/BASIC,BASIC
Batch file (Windows/MS-DOS),/wiki/Batch_file,Batch file
bc (basic calculator),/wiki/Bc_(programming_language),Bc (programming language)
BCPL,/wiki/BCPL,BCPL
BeanShell,/wiki/BeanShell,BeanShell
BETA,/wiki/BETA_(programming_language),BETA (programming language)
BLISS,/wiki/BLISS_(programming_language),BLISS (programming language)
Blockly,/wiki/Blockly,Blockly
BlooP,/wiki/BlooP_and_FlooP,BlooP and FlooP
Boo,/wiki/Boo_(programming_language),Boo (programming language)
Boomerang,/wiki/Boomerang_(programming_language),Boomerang (programming language)
Bosque,/wiki/Bosque_(programming_language),Bosque (programming language)
C--,/wiki/C--,C--
C++,/wiki/C%2B%2B,C++
C/AL,/wiki/C/AL,C/AL
Caché ObjectScript,/wiki/Cach%C3%A9_ObjectScript,Caché ObjectScript
C Shell (csh),/wiki/C_Shell,C Shell
Caml,/wiki/Caml,Caml
Carbon,/wiki/Carbon_(programming_language),Carbon (programming language)
Catrobat,/wiki/Catrobat,Catrobat
Cayenne (Lennart Augustsson),/wiki/Cayenne_(programming_language),Cayenne (programming language)
CDuce,/wiki/CDuce,CDuce
Cecil,/wiki/Cecil_(programming_language),Cecil (programming language)
CESIL (Computer Education in Schools Instruction Language),/wiki/CESIL,CESIL
Céu,/wiki/C%C3%A9u_(programming_language),Céu (programming language)
Ceylon,/wiki/Ceylon_(programming_language),Ceylon (programming language)
CFEngine,/wiki/CFEngine,CFEngine
Cg (High-Level Shader/Shading Language [HLSL]),/wiki/Cg_(programming_language),Cg (programming language)
Chapel (Cascade High Productivity Language),/wiki/Chapel_(programming_language),Chapel (programming language)
Charm,/wiki/Charm_(language),Charm (language)
CHILL,/wiki/CHILL,CHILL
CHIP-8,/wiki/CHIP-8,CHIP-8
ChucK,/wiki/ChucK,ChucK
Cilk (also Cilk++ and Cilk plus),/wiki/Cilk,Cilk
Claire,/wiki/Claire_(programming_language),Claire (programming language)
Clarion,/wiki/Clarion_(programming_language),Clarion (programming language)
Clean,/wiki/Clean_(programming_language),Clean (programming language)
Clipper,/wiki/Clipper_(programming_language),Clipper (programming language)
CLIPS,/wiki/CLIPS_(programming_language),CLIPS (programming language)
CLIST,/wiki/CLIST,CLIST
Clojure,/wiki/Clojure,Clojure
CLU,/wiki/CLU_(programming_language),CLU (programming language)
CMS-2,/wiki/CMS-2_(programming_language),CMS-2 (programming language)
COBOL,/wiki/COBOL,COBOL
CobolScript,/wiki/CobolScript,CobolScript
Cobra,/wiki/Cobra_(programming_language),Cobra (programming language)
CoffeeScript,/wiki/CoffeeScript,CoffeeScript
ColdFusion,/wiki/ColdFusion,ColdFusion
COMAL,/wiki/COMAL,COMAL
COMIT,/wiki/COMIT,COMIT
Common Intermediate Language,/wiki/Common_Intermediate_Language,Common Intermediate Language
Common Lisp,/wiki/Common_Lisp,Common Lisp
COMPASS,/wiki/COMPASS,COMPASS
Component Pascal,/wiki/Component_Pascal,Component Pascal
COMTRAN,/wiki/COMTRAN,COMTRAN
Constraint Handling Rules,/wiki/Constraint_Handling_Rules,Constraint Handling Rules
Control Language,/wiki/Control_Language,Control Language
Cool,/wiki/Cool_(programming_language),Cool (programming language)
Coq,/wiki/Coq,Coq
Coral 66,/wiki/Coral_66,Coral 66
CorVision,/wiki/CorVision,CorVision
COWSEL,/wiki/COWSEL,COWSEL
CPL,/wiki/CPL_(programming_language),CPL (programming language)
Cryptol,/wiki/Cryptol,Cryptol
Crystal,/wiki/Crystal_(programming_language),Crystal (programming language)
Csound,/wiki/Csound,Csound
Cuneiform,/wiki/Cuneiform_(programming_language),Cuneiform (programming language)
Curl,/wiki/Curl_(programming_language),Curl (programming language)
Curry,/wiki/Curry_(programming_language),Curry (programming language)
Cybil,/wiki/Cybil_(programming_language),Cybil (programming language)
Cyclone,/wiki/Cyclone_(programming_language),Cyclone (programming language)
Cypher Query Language,/wiki/Cypher_Query_Language,Cypher Query Language
Cython,/wiki/Cython,Cython
CEEMAC,/wiki/CEEMAC,CEEMAC
Dart,/wiki/Dart_(programming_language),Dart (programming language)
Darwin,/wiki/Darwin_(programming_language),Darwin (programming language)
DataFlex,/wiki/DataFlex,DataFlex
Datalog,/wiki/Datalog,Datalog
DATATRIEVE,/wiki/DATATRIEVE,DATATRIEVE
dBase,/wiki/DBase,DBase
DCL (DIGITAL Command Language),/wiki/DIGITAL_Command_Language,DIGITAL Command Language
Delphi,/wiki/Delphi_(software),Delphi (software)
DIBOL,/wiki/DIBOL,DIBOL
DinkC,/wiki/Dink_Smallwood#Modification,Dink Smallwood
Dog,/wiki/Dog_(programming_language),Dog (programming language)
Draco,/wiki/Draco_(programming_language),Draco (programming language)
DRAKON,/wiki/DRAKON,DRAKON
Dylan,/wiki/Dylan_(programming_language),Dylan (programming language)
DYNAMO,/wiki/DYNAMO_(programming_language),DYNAMO (programming language)
DAX (Data Analysis Expressions),/wiki/Data_analysis_expressions,Data analysis expressions
Ease,/wiki/Ease_(programming_language),Ease (programming language)
Easy PL/I,/wiki/PL/I,PL/I
EASYTRIEVE PLUS,/wiki/Easytrieve,Easytrieve
ECMAScript,/wiki/ECMAScript,ECMAScript
Edinburgh IMP,/wiki/Edinburgh_IMP,Edinburgh IMP
EGL,/wiki/EGL_(programming_language),EGL (programming language)
Eiffel,/wiki/Eiffel_(programming_language),Eiffel (programming language)
ELAN,/wiki/ELAN_(programming_language),ELAN (programming language)
Elixir,/wiki/Elixir_(programming_language),Elixir (programming language)
Elm,/wiki/Elm_(programming_language),Elm (programming language)
Emacs Lisp,/wiki/Emacs_Lisp,Emacs Lisp
Emerald,/wiki/Emerald_(programming_language),Emerald (programming language)
Epigram,/wiki/Epigram_(programming_language),Epigram (programming language)
EPL (Easy Programming Language),/wiki/Easy_Programming_Language,Easy Programming Language
Erlang,/wiki/Erlang_(programming_language),Erlang (programming language)
Escher,/wiki/Escher_(programming_language),Escher (programming language)
ESPOL,/wiki/Executive_Systems_Problem_Oriented_Language,Executive Systems Problem Oriented Language
Esterel,/wiki/Esterel,Esterel
Etoys,/wiki/Etoys_(programming_language),Etoys (programming language)
Euclid,/wiki/Euclid_(programming_language),Euclid (programming language)
Euler,/wiki/Euler_(programming_language),Euler (programming language)
Euphoria,/wiki/Euphoria_(programming_language),Euphoria (programming language)
EusLisp Robot Programming Language,/wiki/EusLisp_Robot_Programming_Language,EusLisp Robot Programming Language
CMS EXEC,/wiki/CMS_EXEC,CMS EXEC
EXEC 2,/wiki/EXEC_2,EXEC 2
Executable UML,/wiki/Executable_UML,Executable UML
Ezhil,/wiki/Ezhil_(programming_language),Ezhil (programming language)
F# (F sharp),/wiki/F_Sharp_(programming_language),F Sharp (programming language)
Factor,/wiki/Factor_(programming_language),Factor (programming language)
Fantom,/wiki/Fantom_(programming_language),Fantom (programming language)
FAUST,/wiki/FAUST_(programming_language),FAUST (programming language)
FFP,/wiki/FFP_(programming_language),FFP (programming language)
fish,/wiki/Friendly_interactive_shell,Friendly interactive shell
Fjölnir,/wiki/Fj%C3%B6lnir_(programming_language),Fjölnir (programming language)
FlagShip,/wiki/FlagShip,FlagShip
Flavors,/wiki/Flavors_(programming_language),Flavors (programming language)
Flex,/wiki/Flex_(language),Flex (language)
Flix,/wiki/Flix_(programming_language),Flix (programming language)
FlooP,/wiki/BlooP_and_FlooP,BlooP and FlooP
FLOW-MATIC (B0),/wiki/FLOW-MATIC,FLOW-MATIC
FOCAL (Formulating On-Line Calculations in Algebraic Language/FOrmula CALculator),/wiki/FOCAL_(programming_language),FOCAL (programming language)
FOCUS,/wiki/FOCUS,FOCUS
FOIL,/wiki/FOIL_(programming_language),FOIL (programming language)
FORMAC (FORMula MAnipulation Compiler),/wiki/FORMAC_(programming_language),FORMAC (programming language)
@Formula,/wiki/Formula_language,Formula language
Forth,/wiki/Forth_(programming_language),Forth (programming language)
Fortran,/wiki/Fortran,Fortran
Fortress,/wiki/Fortress_(programming_language),Fortress (programming language)
FoxBase/FoxPro,/wiki/FoxPro_(programming_language),FoxPro (programming language)
Franz Lisp,/wiki/Franz_Lisp,Franz Lisp
Futhark,/wiki/Futhark_(programming_language),Futhark (programming language)
F-Script,/wiki/F-Script_(programming_language),F-Script (programming language)
Game Maker Language,/wiki/Game_Maker_Language,Game Maker Language
GameMonkey Script,/wiki/GameMonkey_Script,GameMonkey Script
GAMS (General Algebraic Modeling System),/wiki/General_Algebraic_Modeling_System,General Algebraic Modeling System
GAP,/wiki/GAP_computer_algebra_system,GAP computer algebra system
G-code,/wiki/G-code,G-code
GDScript (Godot),/wiki/Godot_(game_engine),Godot (game engine)
Genie,/wiki/Genie_(programming_language),Genie (programming language)
GDL (Geometric Description Language),/wiki/Geometric_Description_Language,Geometric Description Language
GEORGE,/wiki/GEORGE_(programming_language),GEORGE (programming language)
GLSL (OpenGL Shading Language),/wiki/OpenGL_Shading_Language,OpenGL Shading Language
GNU E,/wiki/GNU_E,GNU E
GNU Guile (GNU Ubiquitous Intelligent Language for Extensions),/wiki/GNU_Guile,GNU Guile
Go!,/wiki/Go!_(programming_language),Go! (programming language)
GOAL (Game Oriented Assembly Lisp),/wiki/Game_Oriented_Assembly_Lisp,Game Oriented Assembly Lisp
Gödel,/wiki/G%C3%B6del_(programming_language),Gödel (programming language)
Golo,/wiki/Golo_(programming_language),Golo (programming language)
GOM (Good Old Mad),/wiki/MAD_(programming_language),MAD (programming language)
Google Apps Script,/wiki/Google_Apps_Script,Google Apps Script
Gosu,/wiki/Gosu_(programming_language),Gosu (programming language)
GOTRAN (IBM 1620),/wiki/IBM_1620#GOTRAN,IBM 1620
GPSS (General Purpose Simulation System),/wiki/GPSS,GPSS
GraphTalk (Computer Sciences Corporation),/wiki/Computer_Sciences_Corporation,Computer Sciences Corporation
GRASS,/wiki/GRASS_(programming_language),GRASS (programming language)
Grasshopper,/wiki/Grasshopper_3D,Grasshopper 3D
Groovy (Apache Groovy),/wiki/Apache_Groovy,Apache Groovy
Hack,/wiki/Hack_(programming_language),Hack (programming language)
HAGGIS,/wiki/HAGGIS,HAGGIS
HAL/S,/wiki/HAL/S,HAL/S
Halide (programming language),/wiki/Halide_(programming_language),Halide (programming language)
Hamilton C shell,/wiki/Hamilton_C_shell,Hamilton C shell
Harbour,/wiki/Harbour_(software),Harbour (software)
Hartmann pipelines,/wiki/Hartmann_pipeline,Hartmann pipeline
Haskell,/wiki/Haskell_(programming_language),Haskell (programming language)
Haxe,/wiki/Haxe,Haxe
Hermes,/wiki/Hermes_(programming_language),Hermes (programming language)
High Level Assembly (HLA),/wiki/High_Level_Assembly,High Level Assembly
HLSL,/wiki/High_Level_Shader_Language,High Level Shader Language
Hollywood,/wiki/Hollywood_(programming_language),Hollywood (programming language)
HolyC (TempleOS),/wiki/TempleOS,TempleOS
Hop,/wiki/Hop_(software),Hop (software)
Hopscotch,/wiki/Hopscotch_(programming_language),Hopscotch (programming language)
Hope,/wiki/Hope_(programming_language),Hope (programming language)
Hume,/wiki/Hume_(language),Hume (language)
HyperTalk,/wiki/HyperTalk,HyperTalk
Icon,/wiki/Icon_(programming_language),Icon (programming language)
IBM Basic assembly language,/wiki/IBM_Basic_assembly_language,IBM Basic assembly language
IBM HAScript,/wiki/IBM_HAScript,IBM HAScript
IBM Informix-4GL,/wiki/IBM_Informix-4GL,IBM Informix-4GL
IBM RPG,/wiki/IBM_RPG,IBM RPG
IDL,/wiki/IDL_(programming_language),IDL (programming language)
Idris,/wiki/Idris_(programming_language),Idris (programming language)
Inform,/wiki/Inform_(programming_language),Inform (programming language)
ISLISP,/wiki/ISLISP,ISLISP
J# (J sharp),/wiki/J_Sharp,J Sharp
J++ (J plus plus),/wiki/Visual_J%2B%2B,Visual J++
JADE,/wiki/JADE_(programming_language),JADE (programming language)
Jai,/wiki/Jai_(programming_language),Jai (programming language)
JAL,/wiki/JAL_(compiler),JAL (compiler)
Janus (concurrent constraint programming language),/wiki/Janus_(concurrent_constraint_programming_language),Janus (concurrent constraint programming language)
Janus (time-reversible computing programming language),/wiki/Janus_(time-reversible_computing_programming_language),Janus (time-reversible computing programming language)
JASS,/wiki/JASS_(scripting_language),JASS (scripting language)
Java,/wiki/Java_(programming_language),Java (programming language)
JavaFX Script,/wiki/JavaFX_Script,JavaFX Script
JavaScript,/wiki/JavaScript,JavaScript
Jess,/wiki/Jess_(programming_language),Jess (programming language)
JCL,/wiki/Job_Control_Language,Job Control Language
JEAN,/wiki/JEAN,JEAN
Join Java,/wiki/Join_Java,Join Java
JOSS,/wiki/JOSS,JOSS
Joule,/wiki/Joule_(programming_language),Joule (programming language)
JOVIAL,/wiki/JOVIAL,JOVIAL
Joy,/wiki/Joy_(programming_language),Joy (programming language)
JScript,/wiki/JScript,JScript
JScript .NET,/wiki/JScript_.NET,JScript .NET
Julia,/wiki/Julia_(programming_language),Julia (programming language)
Jython,/wiki/Jython,Jython
Kaleidoscope,/wiki/Kaleidoscope_(programming_language),Kaleidoscope (programming language)
Karel,/wiki/Karel_(programming_language),Karel (programming language)
KEE,/wiki/IntelliCorp_(Software),IntelliCorp (Software)
Kixtart,/wiki/KiXtart,KiXtart
Klerer-May System,/wiki/Klerer-May_System,Klerer-May System
KIF (Knowledge Interchange Format),/wiki/Knowledge_Interchange_Format,Knowledge Interchange Format
Kojo,/wiki/Kojo_(programming_language),Kojo (programming language)
Kotlin,/wiki/Kotlin_(programming_language),Kotlin (programming language)
KRC,/wiki/Kent_Recursive_Calculator,Kent Recursive Calculator
KRL,/wiki/KRL_(programming_language),KRL (programming language)
KUKA Robot Language,/wiki/KUKA_Robot_Language,KUKA Robot Language
KRYPTON,/wiki/KRYPTON,KRYPTON
KornShell (ksh),/wiki/KornShell,KornShell
Kodu,/wiki/Kodu_Game_Lab,Kodu Game Lab
Kv (Kivy),/wiki/Kivy_(framework)#Kv_language,Kivy (framework)
LabVIEW,/wiki/LabVIEW,LabVIEW
Ladder,/wiki/Ladder_logic,Ladder logic
LANSA,/wiki/LANSA_(development_environment),LANSA (development environment)
Lasso,/wiki/Lasso_(programming_language),Lasso (programming language)
Lava,/wiki/Lava_(programming_language),Lava (programming language)
LC-3,/wiki/Little_Computer_3,Little Computer 3
Lean,/wiki/Lean_(proof_assistant),Lean (proof assistant)
Legoscript,/wiki/Legoscript,Legoscript
LIL,/wiki/Little_Implementation_Language,Little Implementation Language
LilyPond,/wiki/LilyPond,LilyPond
Limbo,/wiki/Limbo_(programming_language),Limbo (programming language)
Limnor,/wiki/Limnor,Limnor
LINC,/wiki/LINC_4GL,LINC 4GL
Lingo,/wiki/Lingo_(programming_language),Lingo (programming language)
LINQ,/wiki/LINQ,LINQ
LIS,/wiki/LIS_(programming_language),LIS (programming language)
LISA,/wiki/Language_for_Instruction_Set_Architecture,Language for Instruction Set Architecture
Language H,/wiki/Language_H,Language H
Lisp,/wiki/Lisp_(programming_language),Lisp (programming language)
Lite-C,/wiki/Lite-C,Lite-C
Lithe,/wiki/Lithe_(programming_language),Lithe (programming language)
Little b,/wiki/Little_b_(programming_language),Little b (programming language)
LLL,/wiki/Ethereum#Contract_source_code,Ethereum
Logo,/wiki/Logo_(programming_language),Logo (programming language)
Logtalk,/wiki/Logtalk,Logtalk
LotusScript,/wiki/LotusScript,LotusScript
LPC,/wiki/LPC_(programming_language),LPC (programming language)
LSE,/wiki/LSE_(programming_language),LSE (programming language)
LSL,/wiki/Linden_Scripting_Language,Linden Scripting Language
LiveCode,/wiki/LiveCode,LiveCode
LiveScript,/wiki/LiveScript,LiveScript
Lua,/wiki/Lua_(programming_language),Lua (programming language)
Lucid,/wiki/Lucid_(programming_language),Lucid (programming language)
Lustre,/wiki/Lustre_(programming_language),Lustre (programming language)
LYaPAS,/wiki/LYaPAS,LYaPAS
Lynx,/wiki/Lynx_(programming_language),Lynx (programming language)
M Formula language,/wiki/M_Formula_language,M Formula language
M2001,/wiki/M2001,M2001
Machine code,/wiki/Machine_code,Machine code
MAD,/wiki/MAD_(programming_language),MAD (programming language)
MAD/I,/wiki/MAD_(programming_language),MAD (programming language)
Magik,/wiki/Magik_(programming_language),Magik (programming language)
Magma,/wiki/Magma_computer_algebra_system,Magma computer algebra system
Máni,/wiki/M%C3%A1ni,Máni
Maple,/wiki/Maple_(software),Maple (software)
MAPPER,/wiki/MAPPER,MAPPER
MARK-IV,/wiki/MARK_IV_(software),MARK IV (software)
Mary,/wiki/Mary_(programming_language),Mary (programming language)
MATLAB,/wiki/MATLAB,MATLAB
MASM Microsoft Assembly x86,/wiki/Microsoft_Macro_Assembler,Microsoft Macro Assembler
MATH-MATIC,/wiki/MATH-MATIC,MATH-MATIC
Maude system,/wiki/Maude_system,Maude system
Maxima,/wiki/Maxima_(software),Maxima (software)
Macsyma,/wiki/Macsyma,Macsyma
Max,/wiki/Max_(software),Max (software)
MaxScript,/wiki/Autodesk_3ds_Max,Autodesk 3ds Max
Maya (MEL),/wiki/Maya_Embedded_Language,Maya Embedded Language
MDL,/wiki/MDL_(programming_language),MDL (programming language)
Mercury,/wiki/Mercury_(programming_language),Mercury (programming language)
Mesa,/wiki/Mesa_(programming_language),Mesa (programming language)
MHEG-5 (Interactive TV programming language),/wiki/MHEG-5,MHEG-5
Microcode,/wiki/Microassembler,Microassembler
Microsoft Power Fx,/wiki/Microsoft_Power_Fx,Microsoft Power Fx
MIIS,/wiki/MIIS_(programming_language),MIIS (programming language)
Milk (programming language),/wiki/Milk_(programming_language),Milk (programming language)
MIMIC,/wiki/MIMIC,MIMIC
Mirah,/wiki/Mirah_(programming_language),Mirah (programming language)
Miranda,/wiki/Miranda_(programming_language),Miranda (programming language)
MIVA Script,/wiki/MIVA_Script,MIVA Script
Model 204,/wiki/Model_204,Model 204
Modelica,/wiki/Modelica,Modelica
Malbolge,/wiki/Malbolge,Malbolge
Modula,/wiki/Modula,Modula
Modula-2,/wiki/Modula-2,Modula-2
Modula-3,/wiki/Modula-3,Modula-3
Mohol,/wiki/Mohol_programming_languages,Mohol programming languages
MOO,/wiki/MOO_(programming_language),MOO (programming language)
Mortran,/wiki/Mortran,Mortran
Mouse,/wiki/Mouse_(programming_language),Mouse (programming language)
MPD,/wiki/MPD_(programming_language),MPD (programming language)
MSL,/wiki/MIRC_scripting_language,MIRC scripting language
MUMPS,/wiki/MUMPS,MUMPS
MuPAD,/wiki/MuPAD,MuPAD
Mutan,/wiki/Ethereum#Programming_languages,Ethereum
Mystic Programming Language,/wiki/Mystic_BBS,Mystic BBS
NASM,/wiki/Netwide_Assembler,Netwide Assembler
Napier88,/wiki/Napier88,Napier88
Neko,/wiki/Neko_(programming_language),Neko (programming language)
Nemerle,/wiki/Nemerle,Nemerle
NESL,/wiki/NESL,NESL
Net.Data,/wiki/Net.Data,Net.Data
NetLogo,/wiki/NetLogo,NetLogo
NetRexx,/wiki/NetRexx,NetRexx
NewLISP,/wiki/NewLISP,NewLISP
NEWP,/wiki/NEWP,NEWP
Newspeak,/wiki/Newspeak_(programming_language),Newspeak (programming language)
NewtonScript,/wiki/NewtonScript,NewtonScript
Nial,/wiki/Nial,Nial
Nickle,/wiki/Nickle_(programming_language),Nickle (programming language)
NITIN,/wiki/Nickle_(programming_language),Nickle (programming language)
Nim,/wiki/Nim_(programming_language),Nim (programming language)
Nix (Systems configuration language),/wiki/Nix_package_manager,Nix package manager
NPL,/wiki/NORD_Programming_Language,NORD Programming Language
Not eXactly C,/wiki/Not_eXactly_C,Not eXactly C
Not Quite C,/wiki/Not_Quite_C,Not Quite C
NSIS,/wiki/Nullsoft_Scriptable_Install_System,Nullsoft Scriptable Install System
NWScript,/wiki/NWScript,NWScript
NXT-G,/wiki/NXT-G,NXT-G
Oak,/wiki/Oak_(programming_language),Oak (programming language)
Oberon,/wiki/Oberon_(programming_language),Oberon (programming language)
OBJ2,/wiki/OBJ2,OBJ2
Object Lisp,/wiki/Object_Lisp,Object Lisp
ObjectLOGO,/wiki/ObjectLOGO,ObjectLOGO
Object REXX,/wiki/Object_REXX,Object REXX
Object Pascal,/wiki/Object_Pascal,Object Pascal
Objective-C,/wiki/Objective-C,Objective-C
Obliq,/wiki/Obliq,Obliq
OCaml,/wiki/OCaml,OCaml
occam,/wiki/Occam_(programming_language),Occam (programming language)
occam-π,/wiki/Occam-%CF%80,Occam-π
Octave,/wiki/GNU_Octave,GNU Octave
OmniMark,/wiki/OmniMark,OmniMark
Opa,/wiki/Opa_(programming_language),Opa (programming language)
Opal,/wiki/Opal_(programming_language),Opal (programming language)
Open Programming Language,/wiki/Open_Programming_Language,Open Programming Language
OpenCL,/wiki/OpenCL,OpenCL
OpenEdge Advanced Business Language,/wiki/OpenEdge_Advanced_Business_Language,OpenEdge Advanced Business Language
OpenVera,/wiki/OpenVera,OpenVera
OpenQASM,/wiki/OpenQASM,OpenQASM
OPS5,/wiki/OPS5,OPS5
OptimJ,/wiki/OptimJ,OptimJ
Orc,/wiki/Orc_(programming_language),Orc (programming language)
ORCA/Modula-2,/wiki/ORCA/Modula-2,ORCA/Modula-2
Oriel,/wiki/Oriel_(scripting_language),Oriel (scripting language)
Orwell,/wiki/Orwell_(programming_language),Orwell (programming language)
Oxygene,/wiki/Oxygene_(programming_language),Oxygene (programming language)
P′′,/wiki/P%E2%80%B2%E2%80%B2,P′′
ParaSail,/wiki/ParaSail_(programming_language),ParaSail (programming language)
PARI/GP,/wiki/PARI/GP,PARI/GP
Pascal,/wiki/Pascal_(programming_language),Pascal (programming language)
Pascal Script,/wiki/Pascal_Script,Pascal Script
PCASTL,/wiki/PCASTL,PCASTL
PCF,/wiki/Programming_language_for_Computable_Functions,Programming language for Computable Functions
PEARL,/wiki/PEARL_(programming_language),PEARL (programming language)
PeopleCode,/wiki/PeopleCode,PeopleCode
Perl,/wiki/Perl,Perl
PDL,/wiki/Perl_Data_Language,Perl Data Language
Pharo,/wiki/Pharo,Pharo
PHP,/wiki/PHP,PHP
Pico,/wiki/Pico_(programming_language),Pico (programming language)
Picolisp,/wiki/Picolisp,Picolisp
Pict,/wiki/Pict_(programming_language),Pict (programming language)
Pike,/wiki/Pike_(programming_language),Pike (programming language)
PILOT,/wiki/PILOT,PILOT
Pipelines,/wiki/Hartmann_pipeline,Hartmann pipeline
Pizza,/wiki/Pizza_(programming_language),Pizza (programming language)
PL-11,/wiki/PL-11,PL-11
PL/0,/wiki/PL/0,PL/0
PL/B,/wiki/Programming_Language_for_Business,Programming Language for Business
PL/C,/wiki/PL/C,PL/C
PL/I,/wiki/PL/I,PL/I
PL/M,/wiki/PL/M,PL/M
PL/P,/wiki/PL/P,PL/P
PL/S,/wiki/PL/S,PL/S
PL/SQL,/wiki/PL/SQL,PL/SQL
PL360,/wiki/PL360,PL360
PLANC,/wiki/PLANC,PLANC
Plankalkül,/wiki/Plankalk%C3%BCl,Plankalkül
Planner,/wiki/Planner_(programming_language),Planner (programming language)
PLEX,/wiki/PLEX_(programming_language),PLEX (programming language)
PLEXIL,/wiki/PLEXIL,PLEXIL
Plus,/wiki/Plus_(programming_language),Plus (programming language)
POP-11,/wiki/POP-11,POP-11
POP-2,/wiki/POP-2,POP-2
PostScript,/wiki/PostScript,PostScript
PortablE,/wiki/Amiga_E#PortablE,Amiga E
POV-Ray SDL,/wiki/POV-Ray,POV-Ray
Powerhouse,/wiki/Powerhouse_(programming_language),Powerhouse (programming language)
PowerBuilder,/wiki/PowerBuilder,PowerBuilder
PowerShell,/wiki/PowerShell,PowerShell
PPL,/wiki/Polymorphic_Programming_Language,Polymorphic Programming Language
Processing,/wiki/Processing_(programming_language),Processing (programming language)
Processing.js,/wiki/Processing.js,Processing.js
Prograph,/wiki/Prograph,Prograph
Project Verona,/wiki/Project_Verona,Project Verona
Prolog,/wiki/Prolog,Prolog
PROMAL,/wiki/PROMAL,PROMAL
