Key,Duplicate,Semantic number,Scrape Name,Cleaned Name,Scrape Identifier,Object (what is it?),Year,Ety. type,2nd Ety. type,Etymology,Full Expansion/Phrase,1st Jargon,1st Jargon Type Connection,2nd Jargon,2nd Jargon Type Connection,END/RECURSIVE?,Explanation,Cultural Heritage (CH),CH Subclass,CH Last Class,Version Numbering?,Source,Additional Information,3rd Jargon,3rd Jargon Type Connection,4th Jargon,4th Jargon Type Connection
17,N,1,Agda,Agda,PL,PL,1999,Thematic,Girl's Name,Word,,Coq,,,,,"Based on a song ""Hönan Agda"", based on a hen named Agda",YES,,,,https://en.wikipedia.org/wiki/Agda_(programming_language),"""Agda is named after the Swedish song ""Hönan Agda"", written by Cornelis Vreeswijk,[7] which is about a hen named Agda. """,,,,
18,N,1,Agilent VEE (Keysight VEE),Agilent VEE,PL,PL,,,,,,,,,,,,,,,,,This is a proprietary language,,,,
19,N,1,Agora,Agora,PL,PL,,,,,,,,,,UNSURE,,,,,,,,,,,
20,N,1,AIMMS,AIMMS,PL,PL,,Acronym,,Phrase,Advanced Interactive Multidimensional Modeling System,,,,,,,,,,,,,,,,
21,N,1,Aldor,Aldor,PL,PL,1990,Relation,,,A#,,,,,UNSURE,Not sure where this name comes from,,,,,,,,,,
22,N,1,Alef,Alef,PL,PL,1992,,,,,,,,,UNSURE,,,,,,https://en.wikipedia.org/wiki/Plan_9_from_Bell_Labs,,,,,
23,N,1,ALF,ALF,PL,PL,,Acronym,,,Algebraic Logic Functional programming language,,,,,,,,,,,,,,,,
24,N,1,ALGOL 58,ALGOL 58,PL,PL,1958,Abbreviation,,Year,,ALGOL,,,,,,,,,,,,,,,
25,N,1,ALGOL 60,ALGOL 60,PL,PL,1960,Abbreviation,,Year,,ALGOL,,,,,,,,,,,,,,,
26,N,1,ALGOL 68,ALGOL 68,PL,PL,1968,Abbreviation,,Year,,ALGOL,,,,,,,,,,,,,,,
27,N,1,ALGOL W,ALGOL W,PL,PL,,,,,,,,,,,,,,,,,,,,,
28,N,1,Alice (Alice ML),Alice ML,PL,PL,2000,Relation,,Word,Alice Standard ML,Standard ML,,,,,inspired by standard ML,,,,,,,,,,
29,N,1,Alma-0,Alma-0,PL,PL,1997,,,,,,,,,UNSURE,,,,,,,,,,,
30,N,1,AmbientTalk,AmbientTalk,PL,PL,2006,Thematic,,Word,Ambient Talk,,,,,,"relates to the mobile entwork, as ambiance relates to the atmosphere",,,,,,,,,,
31,N,1,Amiga E,Amiga E,PL,PL,1985,Company,,,,,,,,,,,,,,,,,,,
32,N,1,AMOS (AMOS BASIC),AMOS BASIC,PL,PL,1990,Phrase,,Phrase,,BASIC,,,,UNSURE,The origin of AMOS is unknown,,,,,,,,,,
33,N,1,AMPL,AMPL,PL,PL,1985,Acronym,,,A Mathematical Programming Language,,,,,,,,,,,,,,,,
34,N,1,Analitik,Analitik,PL,PL,1968,Word,,Word,,,,,,,refers to what the programming language does,Language,,,,,,,,,
35,N,1,AngelScript,AngelScript,PL,PL,2003,,,,,,,,,UNSURE,,Artifact,,,,,,,,,
36,N,1,Apache Pig latin,Apache Pig latin,PL,PL,2008,Phrase,,,Apache Pig,Apache,,,,,,Animal,Name,Pig,,,,,,,
37,N,1,"Apex (Salesforce.com, Inc)",Apex,PL,PL,1999,,,,,,,,,,,,,,,,This is a proprietary language,,,,
38,N,1,APL,APL,PL,PL,1966,Acronym,,,A Programming Language,,,,,,,,,,,,,,,,
39,N,2,App Inventor for Android's visual block language (MIT App Inventor),,PL,IDE,,,,,,,,,,,,,,,,,,,,,
40,N,1,AppleScript,AppleScript,PL,PL,1993,Company,,,Apple script,Apple,,,,,,,,,,,,,,,
41,N,1,APT,APT,PL,PL,1956,Acronym,,,Automatically Programmed Tool,,,,,,,,,,,,,,,,
42,N,1,Arc,Arc,PL,PL,2008,,,,,,,,,UNSURE,,,,,,,More information is needed: https://en.wikipedia.org/wiki/Arc_(programming_language),,,,
43,N,1,ARexx,ARexx,PL,PL,1987,Phrase,,,Amiga REXX,Amiga,,REXX,,,,,,,,,,,,,
44,N,1,Argus,Argus,PL,PL,1982,Phrase,,,Assembly Language,,,,,,,,,,,,,,,,
45,N,1,Assembly language (ASM),ASM,PL,PL,1947,,,,,,,,,,,,,,,,,,,,
46,N,1,AutoHotkey,AutoHotkey,PL,PL,2003,,,,,,,,,,,,,,,,,,,,
47,N,1,AutoIt,AutoIt,PL,PL,1999,Phrase,,,,,,,,,,,,,,,,,,,
48,N,1,AutoLISP / Visual LISP,AutoLISP,PL,PL,1995,Company,,,Automatic LISP,LISP,,Autodesk,,,Might be the same as visual lisp,,,,,,,,,,
49,N,1,Averest,Averest,PL,PL,,,,,,,,,,UNSURE,,,,,,,,,,,
50,Y,8,GNU Radio,GNU Radio,PL,PL,,,,,,,,,,,,,,,,,,,,,
51,N,1,Axum,Axum,PL,PL,2009,,,,,,,,,UNSURE,,,,,,,,,,,
52,N,1,Babbage,Babbage,PL,PL,1971,Attribution,,,,,,,,,Deidcated to charles Babbage,,,,,,,,,,
53,N,1,Ballerina,Ballerina,PL,PL,2017,,Girl Reference,,,,,,,,,Artifact,,,,,,,,,
54,N,1,Bash,Bash,PL,PL,1991,Semi-Acronym,,,Bourne Again Shell,Bourne,Attribution,,,,"""Born again shell"", is a play on words",,,,,,,,,,
55,N,1,BASIC,BASIC,PL,PL,1964,Acronym,,,Beginners' All-purpose Symbolic Instruction Code,,,,,,,,,,,,,,,,
56,N,1,Batch file (Windows/MS-DOS),Batch file,PL,PL,,,,,,,,,,,,,,,,,,,,,
57,N,1,bc (basic calculator),bc,PL,PL,1975,Acronym,,,Basic calculator,,,,,,,,,,,,,,,,
58,N,1,BCPL,BCPL,PL,PL,1967,,,,Basic Combined Programming Language,,CPL,,,,"Originally, it was an acronym for ""Bootstrap CPL"", although the changed it later on",,,,,,,,,,
59,N,1,BeanShell,BeanShell,PL,PL,1999,Food,,,,Bean,,shell,,,"""Bean"" refers to the application being small, while shell refers has the usual, tehcnical meaning",,,,,,,,,,
60,N,1,BETA,BETA,PL,PL,,,,,,,,,,UNSURE,Needs more research: https://beta.cs.au.dk/contact/index.php,,,,,,,,,,
61,N,1,BLISS,BLISS,PL,PL,1970,,,,,,,,,UNSURE,,,,,,,,,,,
62,N,1,Blockly,Blockly,PL,PL,2012,,,,,,,,,,,,,,,,,,,,
63,N,1,BlooP,BlooP,PL,PL,1979,Semi-Acronym,,,Bounded Loop,FlooP,See also Floop,,,,,,,,,,,,,,
64,N,1,Boo,Boo,PL,PL,2003,,,,,,,,,UNSURE,Possibly refers to the last two letters of the authors name (Rodrigo B. de Oliveira),,,,,,,,,,
65,N,1,Boomerang,Boomerang,PL,PL,2008,,,,,,,,,UNSURE,Probably refers functionally to the fact that it goes two ways (back and forth): https://www.seas.upenn.edu/~harmony/,,,,,,,,,,
66,N,1,Bosque,Bosque,PL,PL,2019,,,,,,,,,UNSURE,Needs research: https://github.com/Microsoft/BosqueLanguage,,,,,,,,,,
67,N,1,C--,C--,PL,PL,1997,Relation,,,C minus minus,C,,,,,,,,,,,,,,,
68,N,1,C++,C++,PL,PL,1985,Relation,,,C,,,,,,,,,,YES,,,,,,
69,N,1,C/AL,C/AL,PL,PL,,Acronym,,,Client/server Application Language,,,,,,,,,,,,,,,,
70,N,1,Caché ObjectScript,Caché ObjectScript,PL,PL,1997,Company,,,,,InterSystem Caché,,,,,,,,,,,,,,
71,N,1,C Shell (csh),C Shell,PL,SL,1978,Relation,,,C,,,,,,,,,,,,,,,,
72,N,1,Caml,Caml,PL,PL,1985,Acronym,,,Categorical Abstract Machine Language,,,,,,,Animal,Name,Camel,,,,,,,
73,N,1,Carbon,Carbon,PL,PL,2022,Relation,,,C,,,,,,,,,,,,,,,,
74,N,1,Catrobat,Catrobat,PL,PL,2010,Thematic,,,,Scratch,,Android,,,"Started out as ""Catroid"", turned into Catobat. See Githubs mascot",,,,,,,,,,
75,N,1,Cayenne (Lennart Augustsson),Cayenne,PL,PL,,Thematic,,,,,,,,,,Food,,,,,,,,,
76,N,1,CDuce,CDuce,PL,PL,,,,,,,,,,UNSURE,Needs more research,,,,,,,,,,
77,N,1,Cecil,Cecil,PL,PL,,,,,,,,,,UNSURE,Needs more research,,,,,,,,,,
78,N,1,CESIL (Computer Education in Schools Instruction Language),CESIL,PL,PL,,Acronym,,,Computer Education in Schools Instruction Language,,,,,,,,,,,,,,,,
79,N,1,Céu,Céu,PL,PL,,,,,,,,,,,,Language,,,,,,,,,
80,N,1,Ceylon,Ceylon,PL,PL,2011,Thematic,,,,Java,,,,,"Based on the Java naming of places from where drinks come, ceylon refers to the former name of sri lanka, which also refers to tea",Location;Animal,,,,,,,,,
81,N,1,CFEngine,CFEngine,PL,PL,,,,,,,,,,,,,,,,,,,,,
82,N,1,Cg (High-Level Shader/Shading Language [HLSL]),Cg,PL,PL,,Acronym,,C for Graphics,,C,,,,,,,,,,,,,,,
83,N,1,Chapel (Cascade High Productivity Language),Chapel,PL,PL,2009,Abbreviation,,Cascade High Productivity Language,,,,,,,,,,,,,,,,,
84,N,1,Charm,Charm,PL,PL,1996,,,,,,,,,UNSURE,Needs more research,,,,,,,,,,
85,N,1,CHILL,CHILL,PL,PL,,Acronym,,CCITT High Level Language,,,,,,,,,,,,,,,,,
86,N,1,CHIP-8,CHIP-8,PL,PL,,,,,,COSMAC VIP,The C comes from the COSMAC Video interface,bit,,UNSURE,Needs more claritication on exact documentation,,,,,,,,,,
87,N,1,ChucK,ChucK,PL,PL,2003,,,,,,,,,,,,,,,,,,,,
88,N,1,Cilk (also Cilk++ and Cilk plus),Cilk,PL,PL,1994,Thematic,,Word,Cilk (Silk),,,,,,Silk' is for 'nice threads',,,,YES,,,,,,
89,N,1,Claire,Claire,PL,PL,2004,Attribution,Girl's Name,,,,,,,UNSURE,Needs more research,,,,,,,,,,
90,N,1,Clarion,Clarion,PL,PL,1986,,Girl's Name,,,,,,,UNSURE,Needs more research,,,,,,This is a proprietary language,,,,
91,N,1,Clean,Clean,PL,PL,1987,Thematic,,,,,,,,UNSURE,Needs more research,,,,,,,,,,
92,N,1,Clipper,Clipper,PL,PL,1985,,,,,,,,,UNSURE,Needs more research,,,,,,,,,,
93,N,1,CLIPS,CLIPS,PL,PL,1985,Acronym,,,C Language Integrated Production System,C,,OPS,Thematic connection,,,,,,,,,,,,
94,N,1,CLIST,CLIST,PL,PL,,Abbreviation,,,Command List,,,,,,,,,,,,,,,,
95,N,1,Clojure,Clojure,PL,PL,2007,Thematic,,Phrase,,C#,,Lisp,,,"Play on words for C#, Java, Lisp and ""closure"", a programming concept used in clojure",,,,,,,Java,,Closure,
96,N,1,CLU,CLU,PL,PL,1975,Abbreviation,,Word,Cluster,,,,,UNSURE,Is cluster a jargon word?,,,,,,,,,,
97,N,1,CMS-2,CMS-2,PL,PL,1968,Acronym,,,Compiler Monitor System,,,,,,,,,,YES,,,,,,
98,N,1,COBOL,COBOL,PL,PL,1959,Acronym,,,common business-oriented language,,,,,,,,,,,,,,,,
99,N,1,CobolScript,CobolScript,PL,PL,1999,,,Phrase,COBOL script,COBOL,,,,,,,,,,,,,,,
100,N,1,Cobra,Cobra,PL,PL,2006,Thematic,,,,,,,,,Perhaps would be good just to check this,Animal,Name,Snake (Cobra),,,,,,,
101,N,1,CoffeeScript,CoffeeScript,PL,PL,2009,Thematic,,,Coffee Script,Java,Thematic,,,,"CoffeeScript simply adds 'syntactic sugar' to Javascript. Soda is too trashy, but not coffee (unconfirmed)",,,,,,,,,,
102,N,1,ColdFusion,ColdFusion,PL,,,,,,,,,,,,,,,,,,,,,,
103,N,1,COMAL,COMAL,PL,PL,1975,Abbreviation,,Phrase,Common Algorithmic Language,,,,,,,,,,,,,,,,
104,N,1,COMIT,COMIT,PL,PL,1957,,,,,,,,,UNSURE,,,,,,,,,,,
105,N,1,Common Intermediate Language,Common Intermediate Language,PL,PL,,,,,,,,,,UNSURE,Needs more research,,,,,,,,,,
106,N,1,Common Lisp,Common Lisp,PL,PL,1984,,,Phrase,Common Lisp,LISP,,,,,,,,,,,,,,,
107,N,1,COMPASS,COMPASS,PL,PL,,Abbreviation,,Phrase,Comprehensive Assembler,,,,,,,,,,,,,,,,
108,N,1,Component Pascal,Component Pascal,PL,PL,1997,Phrase,,,Component Pascal,Pascal,Name,,,,,,,,,,,,,,
109,N,1,COMTRAN,COMTRAN,PL,PL,1957,Abbreviation,,Phrase,Commercial Translator,,,,,,,,,,,,,,,,
110,N,1,Constraint Handling Rules,Constraint Handling Rules,PL,PL,1991,,,,,,,,,,based on the idea of constraints,,,,,,,,,,
111,N,1,Control Language,Control Language,PL,PL,1978,,,Phrase,,,,,,,,,,,,,,,,,
112,N,1,Cool,Cool,PL,PL,1996,Acronym,,,Classroom Object Oriented Language,,,,,,,,,,,,,,,,
113,N,1,Coq,Coq,PL,PL,1989,Attribution,,Word,,,,,,,"Written in OCamel (?). Named after its creator, Thierry Coquand",Animal,Name;Logo,Rooster,,,,,,,
114,N,1,Coral 66,Coral 66,PL,PL,1964,,,Phrase,Computer On-line Real-time Applications Language,,,,,,,,,,,,,,,,
115,N,1,CorVision,CorVision,PL,PL,1986,Company,,,Cortex Corporation,,,,,,,,,,,,,,,,
116,N,1,COWSEL,COWSEL,PL,PL,1964,Acronym,,,COntrolled Working SpacE Language,,,,,,,,,,,,,,,,
117,N,1,CPL,CPL,PL,PL,1964,,,,Combined Programming Language,,,,,,,,,,,,,,,,
118,N,1,Cryptol,Cryptol,PL,PL,,,,,,,,,,UNSURE,Perhaps 'cryptography language' as it was developed by the NSA< but this needs more reserach,,,,,,,,,,
119,N,1,Crystal,Crystal,PL,PL,2014,Thematic,,Word,,Ruby,Thematic,,,,Initially named 'Joy',Rock,,,,,,,,,
120,N,1,Csound,Csound,PL,PL,1986,Name,,,,C,,,,,Music generation programming language,Music,,,,,,,,,
121,N,1,Cuneiform,Cuneiform,PL,PL,2013,,,,,,,,,UNSURE,Needs more reserach,,,,,,,,,,
122,N,1,Curl,Curl,PL,PL,1998,Company,,,,Curl Inc.,,,,,,,,,,,,,,,
123,N,1,Curry,Curry,PL,PL,,,,,,,,,,UNSURE,Needs more research,,,,,,,,,,
124,N,1,Cybil,Cybil,PL,PL,<1980,Abbreviation,Girl's Name,,Cyber Implementation Language of the Control Data Network Operating System),,,,,,,,,,,,,,,,
125,N,1,Cyclone,Cyclone,PL,PL,2002,,,,,C,,,,,,Weather,,,,,,,,,
126,N,1,Cypher Query Language,Cypher Query Language,PL,PL,2011,,,,,,,,,,,,,,,,,,,,
127,N,1,Cython,Cython,PL,PL,2007,,,,C,,Python,,,,"Not to be confused with CPythin, a reference implementation",,,,,,,,,,
128,N,1,CEEMAC,CEEMAC,PL,PL,,,,,,,,,,,Needs More Research,,,,,,,,,,
129,N,1,Dart,Dart,PL,PL,,,,,,,,,,,"Needs more research. Perhaps named because like darts, the language is (compiles) fast",,,,,,,,,,
130,N,1,Darwin,Darwin,PL,PL,,Attribution,,,,,,,,,Dedicated to Charles Darwin: Language used for the biosciences,,,,,,,,,,
131,N,1,DataFlex,DataFlex,PL,PL,1982,Company,,,Data Access Corporation,,,,,,,,,,,,,,,,
132,N,1,Datalog,Datalog,PL,PL,1986,Name,,Name,,Prolog,,,,,,,,,,,,,,,
133,N,1,DATATRIEVE,DATATRIEVE,PL,PL,<1980,Functional,,,Data Retrieve (speculative),,,,,,Needs more research. Mascot is a wombat,Animal,Mascot,,,,,,,,
134,N,1,dBase,dBase,PL,PL,,None,,,,,,,,,"Hal Pawluk, who handled marketing for the nascent company, decided to change the name to the more business-like ""dBase"". Pawluk devised the use of lower case ""d"" and all-caps ""BASE"" to create a distinctive name. Pawluk suggested calling the new product version two (""II"") to suggest it was less buggy than an initial release. dBase II was the result and became a standard CP/M application along with WordStar and SuperCalc. Originally named ""Vulcan""",,,,,,,,,,
135,N,1,DCL (DIGITAL Command Language),DCL,PL,PL,,,,,DIGITAL Command Language,Digital Equiment Corporation,,,,,,,,,,,,,,,
136,N,1,Delphi,Delphi,PL,PL,1995,Thematic,,,,Oracle,,,,,"Refers to the Oracle of Delphi, meaning that if you want to talk to Oracle (database), you go talk to delphi (to do it for you)",,,,,,,,,,
137,N,1,DIBOL,DIBOL,PL,PL,1970,,,,Digital's Business Oriented Language,Digital Equiment Corporation,,,,,,,,,,,,,,,
138,N,1,DinkC,DinkC,PL,PL,1998,,,,,Dink Smallwood,,C,,,,,,,,,,,,,
139,N,1,Dog,Dog,PL,PL,2012,Word,,,,,,,,,A language designed for social interactions,Animal,Name,Dog,,,,,,,
140,N,1,Draco,Draco,PL,PL,<1985,,,,,,,,,,Copyrighted shareware. Needs more resarch,,,,,,,,,,
141,N,1,DRAKON,DRAKON,PL,PL,1986,Acronym,,,"Дружелюбный Русский Алгоритмический [язык], Который Обеспечивает Наглядность",,,,,,,,,,,,,,,,
142,N,1,Dylan,Dylan,PL,PL,1992,Abbreviation,,,DYnamic LANguage,,,,,,,,,,,,,,,,
143,N,1,DYNAMO,DYNAMO,PL,PL,1958,Abbreviation,,,DYNAmic MOdels,,,,,,,,,,,,,,,,
144,N,1,DAX (Data Analysis Expressions),DAX,PL,PL,2009,,,,Data Analysis Expressions,,,,,,,,,,,,,,,,
145,N,1,Ease,Ease,PL,PL,1991,Play-on-words,,,,,,,,,"""The language was designed to ease the developing of parallel programs""",,,,,,,,,,
146,N,1,Easy PL/I,Easy PL/I,PL,PL,1964,Acronym,,,Programming Language One,,,,,,,,,,,,,,,,
147,N,1,EASYTRIEVE PLUS,EASYTRIEVE PLUS,PL,PL,<=1979,,,,,,,,,UNSURE,Needs more research,,,,,,,,,,
148,N,1,ECMAScript,ECMAScript,PL,PL,1961,Acronym,,,European Computer Manufacturers Association Script,,,,,UNSURE,"Based on a non-profit. Also, not a language",,,,,,,,,,
149,N,1,Edinburgh IMP,Edinburgh IMP,PL,PL,1966,,,,Edinburgh IMP,IMP,Acronym,,Location,,Based on the location where it was invented,,,,,,,,,,
150,N,1,EGL,EGL,PL,PL,,Acronym,,,Enterprise Generation Language,,,,,,,,,,,,,,,,
151,N,1,Eiffel,Eiffel,PL,PL,1986,Artifact,,,Eiffel,,,,,,"Based on the engineer of the iconic french building: Because they did everythign right, and within budget: http://groups.umd.umich.edu/cis/course.des/cis400/eiffel/eiffel.html",,,,,,,,,,
152,N,1,ELAN,ELAN,PL,PL,1974,,,,,,,,,,,Language,,,,,,,,,
153,N,1,Elixir,Elixir,PL,PL,,,,,,,,,,,"Uses the BEAM VM, the same one used for Erlang. The 'E' is perhaps taken from erlang",,,,,,,,,,
154,N,1,Elm,Elm,PL,PL,2012,,,,,,,,,UNSURE,Needs more research,,,,,,,,,,
155,N,1,Emacs Lisp,Emacs Lisp,PL,PL,1985,Word,,,,Emacs,,LISP,,,,,,,,,,,,,
156,N,1,Emerald,Emerald,PL,PL,1982-1987 ,Word,,,,,,,,,,Rock,,,,,,,,,
157,N,1,Epigram,Epigram,PL,PL,2004,,,,,,,,,,Dead link?,,,,,,,,,,
158,N,1,EPL (Easy Programming Language),EPL,PL,PL,2004,Phrase,,,Easy Programming Language,,,,,,"Note, that the programming language is written in cuneiform (visual programming language)",Language,,,,,,,,,
159,N,1,Erlang,Erlang,PL,PL,1986,Company,,,Ericsson Language,Ericsson,,,,,,,,,,,,,,,
160,N,1,Escher,Escher,PL,PL,~1995,Attribution,,,MC Esher,,,,,,"Dedicated to esher, ""master of endless loops""",,,,,,,,,,
161,N,1,ESPOL,ESPOL,PL,PL,1966,Acronym,,,Executive Systems Problem Oriented Language,,,,,,,,,,,,,,,,
162,N,1,Esterel,Esterel,PL,PL,~1982,,Girl's Name,,,,,,,,,,,,,,,,,,
163,N,1,Etoys,Etoys,PL,PL,1996,Functional,,,,,,,,,"Note, that implementations of etoys is Squeak, which influenced Scratch",,,,,,,,,,
164,N,1,Euclid,Euclid,PL,PL,1970s,Attribution,,,,,,,,,"Dedicated to Euclid, the geometer. Programming language is a descendent of Pascal",,,,,,,,,,
165,N,1,Euler,Euler,PL,PL,1965,Attribution,Location,,,,,,,,"Dedicated to Leonard Euler, that originated from the same country as the creator of the language. Note, its relation to ALGOL, which also has 5 letters",,,,,,,,,,
166,N,1,Euphoria,Euphoria,PL,PL,1993,Word,,,,,,,,,"Relates to the powerfulness of the lagnuage (""one of the fastest interpreted languages"")",,,,,,,,,,
167,N,1,EusLisp Robot Programming Language,EusLisp Robot Programming Language,PL,PL,,,,,,,,,,,Dead link,,,,,,,,,,
168,N,1,CMS EXEC,EXEC,PL,PL,1966,Word,,,Conversational Monitor System EXEC,,,,,,Superseded by REXX,,,,,,,,,,
169,N,1,EXEC 2,EXEC 2,PL,PL,1970s,Word,,,,EXEC,,,,,,,,,YES,,,,,,
170,N,1,Executable UML,Executable UML,PL,PL,,Word,,,Executable Unified modelling language,UML,,,,,,,,,,,,,,,
171,N,1,Ezhil,Ezhil,PL,PL,2007,Word,,,,,,,,,,Language,,,,,"Tamil (""beauty"")",,,,
172,N,1,F# (F sharp),F#,PL,PL,2005,,,,,C#,,,,,,,,,,,,,,,
173,N,1,Factor,Factor,PL,PL,2003,Word,,,,,,,,,"Initially called ""Jfactor"", attributing Java as the development language",Animal,Logo,Raptor,,,"Raptor (sounds like ""factor""). Maybe also mention JFactor",,,,
174,N,1,Fantom,Fantom,PL,PL,,Location,,,,,,,,,"Denoted the ""fan"" neighborhood, which then evolved to ""fantom"", with its ghost mascot",Creature,,,,,,,,,
175,N,1,FAUST,FAUST,PL,PL,2002,Acronym,,,Functional AUdio STream,,,,,,,,,,,,,,,,
176,N,1,FFP,FP,PL,PL,1977,Acronym,,,Functional Programming,,,,,,,,,,,,,,,,
177,N,1,fish,fish,PL,PL,2005,Abbreviation,Thematic,,Friendly interactive shell,,,,,,Alos follows the theme of shell --> ocean,,,,,,,,,,
178,N,1,Fjölnir,Fjölnir,PL,PL,1980s,Boy's name,,,Son of Freyr and Gerdr,,,,,,,Mythology,,,,,,,,,
179,N,1,FlagShip,FlagShip,PL,PL,1992,,,,,,,,,,,,,,,,,,,,
180,N,1,Flavors,Flavors,PL,PL,1982,Thematic,,,,mixin,"Flavours are connected to foods that are ""mixed"" together",,,,,,,,,,,,,,
181,N,1,Flex,Flex,PL,PL,1968,Functional,,,,,,,,,Refers to the flexibility of the language,,,,,,,,,,
182,N,1,Flix,Flix,PL,PL,,,,,,,,,,,,,,,,,,,,,
183,N,1,FlooP,FlooP,PL,PL,1979,Semi-Acronym,,,Bounded Loop,BlooP,See also Bloop,,,RECURSIVE,,,,,,,,,,,
184,N,1,FLOW-MATIC (B0),B0,PL,PL,1955,Semi-Acronym,,,Business Language Version 0,,,,,,Unsure where FLOW-MATIC comes from,,,,,,,,,,
185,N,1,FOCAL (Formulating On-Line Calculations in Algebraic Language/FOrmula CALculator),FOCAL,PL,PL,1968,Acronym,,,Formulating On-Line Calculations in Algebraic Language/FOrmula CALculator),,,,,,,,,,,,,,,,
186,N,1,FOCUS,FOCUS,PL,PL,<1990,,,,,,,,,,Dead Link,,,,,,,,,,
187,N,1,FOIL,FOIL,PL,PL,1967,Acronym,,,File-Oriented Interpretive Language,,,,,,,,,,,,,,,,
188,N,1,FORMAC (FORMula MAnipulation Compiler),FORMAC,PL,PL,1962,Abbreviation,,,FORMula MAnipulation Compiler,,,,,,,,,,,,,,,,
189,N,1,@Formula,Formula,PL,PL,,Word,,,,,,,,,"The ""@"" refers to the elements uthat the language uses within it",,,,,,,,,,
190,N,1,Forth,Forth,PL,PL,1970,Word,,,,,,,,,"File holding the interpreter was denoted ""FOURTH"", and on the computer in which it was stored, file names could only be 5 letter long",,,,YES,,,,,,
191,N,1,Fortran,Fortran,PL,PL,1957,Abbreviation,,,Formula Translator,,,,,,,,,,,,,,,,
192,N,1,Fortress,Fortress,PL,PL,2006,Thematic,,,,Fortran,strongly based on the language,,,,,,,,,,,,,,
193,N,1,FoxPro,FoxPro,PL,PL,1994,Company,,,,FoxBase,,,,,"Both were created by Fox Software, but the name derives from a previous version of the langauge that they used",Animal,Name,Fox,,,,,,,
194,N,1,Franz Lisp,Franz Lisp,PL,PL,1980,Attribution,Play-on-words,,Franz Liszt,,Play-on-words,,,,,,,,,,,,,,
195,N,1,Futhark,Futhark,PL,PL,2014,,,,,,,,,UNSURE,Functional Thark (hindi for 'logic'?),,,,,,,,,,
196,N,1,F-Script,F-Script,PL,PL,2013,,,,,,,,,UNSURE,Needs more research,,,,,,,,,,
197,N,1,Game Maker Language,Game Maker Language,PL,PL,1999,Product,,,,GameMaker,,,,,,,,,,,,,,,
198,N,1,GameMonkey Script,GameMonkey Script,PL,PL,2002,Phrase,,,,,,,,,"As far as I can tell, the name does not come from the name of a company, other than the company that developed it, Auran Development, being a game development company",Animal,Name,Monkey,,,,,,,
199,N,1,GAMS (General Algebraic Modeling System),GAMS,PL,PL,1976,Acronym,,,General Algebraic Modeling System,,,,,,,,,,,,,,,,
